"Gene","Model1","ModelCode"
"37521_recR","T92+G+I","T92_G"
"37719_ydcV","TN93+G","TN93_G"
"37720_potD","T92+G","T92_G"
"37952_cetB","T92+G+I","T92_G"
"38145_fbaA","K2+G","K2_G"
"38426_yhdE","T92+G+I","T92_G"
"38579_rpsC","K2+G","K2_G"
"38580_rplV","K2+G+I","K2_G"
"38586_rpsJ","K2+G","K2_G"
"38617_rluC","T92+G+I","T92_G"
"38678_rhlB","TN93+G+I","TN93_G"
"38895_rpmI","K2+G","K2_G"
"38897_pheS","TN93+G+I","TN93_G"
"38917_rnt","TN93+G+I","TN93_G"
"39300_yhaK","T92+G+I","T92_G"
"39373_arcA","TN93+G+I","TN93_G"
"39771_ygaU","TN93+G+I","TN93_G"
"39814_rpmB","K2+G","K2_G"
"40266_cmoA","T92+G+I","T92_G"
"40390_nusG","T92+G","T92_G"
