"Gene","Model1","ModelCode"
"37484_rpoZ","K2+G","K2_G"
"37521_recR","T92+G+I","T92_G"
"37744_rpoD","TN93+G+I","TN93_G"
"38004_atpI","K2+G","K2_G"
"38005_atpB","TN93+G","TN93_G"
"38006_atpE","JC+G","JC_G"
"38007_atpF","K2+G","K2_G"
"38008_atpH","K2+G","K2_G"
"38009_atpA","TN93+G+I","TN93_G"
"38010_atpG","K2+G","K2_G"
"38012_atpC","K2+I","K2"
"38360_recN","TN93+G+I","TN93_G"
"38375_recO","T92+G+I","T92_G"
"38495_infB","TN93+G+I","TN93_G"
"38560_rpoA","K2+G","K2_G"
"39185_leuS","TN93+G+I","TN93_G"
"39382_dnaK","TN93+G+I","TN93_G"
"39904_recF","TN93+G+I","TN93_G"
"39939_rpoH","TN93+G+I","TN93_G"
"40043_recX","T92+G","T92_G"
"40044_recA","TN93+G+I","TN93_G"
"40395_rpoB","TN93+G+I","TN93_G"
"40396_rpoC","TN93+G+I","TN93_G"
